city,lon,lat,month,monthnum,sunshine,temp
Chicago,-87.623177,41.881832,Jan,0,135,32
Chicago,-87.623177,41.881832,Feb,1,136,36
Chicago,-87.623177,41.881832,Mar,2,187,46
Chicago,-87.623177,41.881832,Apr,3,215,59
Chicago,-87.623177,41.881832,May,4,281,70
Chicago,-87.623177,41.881832,Jun,5,311,81
Chicago,-87.623177,41.881832,Jul,6,318,84
Chicago,-87.623177,41.881832,Aug,7,283,82
Chicago,-87.623177,41.881832,Sep,8,226,75
Chicago,-87.623177,41.881832,Oct,9,193,63
Chicago,-87.623177,41.881832,Nov,10,113,48
Chicago,-87.623177,41.881832,Dec,11,106,36
Houston,-95.358421,29.749907,Jan,0,144,62
Houston,-95.358421,29.749907,Feb,1,141,65
Houston,-95.358421,29.749907,Mar,2,193,72
Houston,-95.358421,29.749907,Apr,3,212,78
Houston,-95.358421,29.749907,May,4,266,84
Houston,-95.358421,29.749907,Jun,5,298,90
Houston,-95.358421,29.749907,Jul,6,294,92
Houston,-95.358421,29.749907,Aug,7,281,93
Houston,-95.358421,29.749907,Sep,8,238,88
Houston,-95.358421,29.749907,Oct,9,239,81
Houston,-95.358421,29.749907,Nov,10,181,71
Houston,-95.358421,29.749907,Dec,11,146,63
Miami,-80.191788,25.761681,Jan,0,222,76
Miami,-80.191788,25.761681,Feb,1,227,78
Miami,-80.191788,25.761681,Mar,2,266,80
Miami,-80.191788,25.761681,Apr,3,275,83
Miami,-80.191788,25.761681,May,4,280,87
Miami,-80.191788,25.761681,Jun,5,251,89
Miami,-80.191788,25.761681,Jul,6,267,91
Miami,-80.191788,25.761681,Aug,7,263,91
Miami,-80.191788,25.761681,Sep,8,216,89
Miami,-80.191788,25.761681,Oct,9,215,86
Miami,-80.191788,25.761681,Nov,10,212,82
Miami,-80.191788,25.761681,Dec,11,209,78
New York,-73.935242,40.73061,Jan,0,154,39
New York,-73.935242,40.73061,Feb,1,171,42
New York,-73.935242,40.73061,Mar,2,213,50
New York,-73.935242,40.73061,Apr,3,237,60
New York,-73.935242,40.73061,May,4,268,71
New York,-73.935242,40.73061,Jun,5,289,79
New York,-73.935242,40.73061,Jul,6,302,85
New York,-73.935242,40.73061,Aug,7,271,83
New York,-73.935242,40.73061,Sep,8,235,76
New York,-73.935242,40.73061,Oct,9,213,65
New York,-73.935242,40.73061,Nov,10,169,54
New York,-73.935242,40.73061,Dec,11,155,44
San Francisco,-122.446747,37.733795,Jan,0,165,66
San Francisco,-122.446747,37.733795,Feb,1,182,67
San Francisco,-122.446747,37.733795,Mar,2,251,64
San Francisco,-122.446747,37.733795,Apr,3,281,63
San Francisco,-122.446747,37.733795,May,4,314,62
San Francisco,-122.446747,37.733795,Jun,5,330,60
San Francisco,-122.446747,37.733795,Jul,6,300,57
San Francisco,-122.446747,37.733795,Aug,7,272,68
San Francisco,-122.446747,37.733795,Sep,8,267,70
San Francisco,-122.446747,37.733795,Oct,9,243,69
San Francisco,-122.446747,37.733795,Nov,10,189,63
San Francisco,-122.446747,37.733795,Dec,11,156,57
Seattle,-122.335167,47.608013,Jan,0,69,47
Seattle,-122.335167,47.608013,Feb,1,108,50
Seattle,-122.335167,47.608013,Mar,2,178,54
Seattle,-122.335167,47.608013,Apr,3,207,58
Seattle,-122.335167,47.608013,May,4,253,65
Seattle,-122.335167,47.608013,Jun,5,268,70
Seattle,-122.335167,47.608013,Jul,6,312,76
Seattle,-122.335167,47.608013,Aug,7,281,76
Seattle,-122.335167,47.608013,Sep,8,221,71
Seattle,-122.335167,47.608013,Oct,9,142,60
Seattle,-122.335167,47.608013,Nov,10,72,51
Seattle,-122.335167,47.608013,Dec,11,52,46